Id,prediction
LL-I-05075226,0
LL-I-13634310,1
LL-I-11897950,1
LL-I-10148594,0
LL-I-15865525,1
LL-I-01549681,0
LL-I-03222713,1
LL-I-17363153,1
LL-I-06804873,1
LL-I-13424896,0
LL-I-12875454,0
LL-I-17497659,1
LL-I-12345303,1
LL-I-10460276,0
LL-I-04286805,1
LL-I-04196837,0
LL-I-09040178,0
LL-I-04764159,0
LL-I-03056865,0
LL-I-15992163,1
LL-I-13194691,0
LL-I-11606561,1
LL-I-16740253,0
LL-I-04464916,1
LL-I-07619265,1
LL-I-11352583,0
LL-I-02397693,1
LL-I-15942262,0
LL-I-16020165,1
LL-I-14799556,0
LL-I-01632911,0
LL-I-09068081,0
LL-I-00933419,0
LL-I-09280982,1
LL-I-12392900,0
LL-I-15879374,0
LL-I-03885164,1
LL-I-11284806,1
LL-I-12251403,0
LL-I-16378410,0
LL-I-16184450,0
LL-I-11368342,0
LL-I-04072138,0
LL-I-06120912,0
LL-I-08730600,0
LL-I-13943681,0
LL-I-13337597,0
LL-I-06185656,0
LL-I-18491990,0
LL-I-16922312,0
LL-I-13259946,0
LL-I-12081721,0
LL-I-05084839,0
LL-I-02233994,0
LL-I-12622019,0
LL-I-13513238,1
LL-I-07292813,0
LL-I-10765568,1
LL-I-12352205,0
LL-I-13424288,1
LL-I-10740416,1
LL-I-00805680,0
LL-I-17099636,0
LL-I-08511893,0
LL-I-03493620,0
LL-I-12103326,1
LL-I-08318447,0
LL-I-05743620,1
LL-I-12178351,0
LL-I-07132432,0
LL-I-13152116,0
LL-I-11654723,1
LL-I-08402247,0
LL-I-12107036,0
LL-I-01197691,0
LL-I-12978729,0
LL-I-12907656,0
LL-I-16529430,0
LL-I-13573273,0
LL-I-13459142,0
LL-I-05852686,0
LL-I-02432022,1
LL-I-08542863,0
LL-I-16763481,1
LL-I-00494191,0
LL-I-15362691,1
LL-I-12163237,0
LL-I-11258172,0
LL-I-08557369,0
LL-I-04689330,0
LL-I-16134308,1
LL-I-13664479,0
LL-I-17463429,1
LL-I-06205395,0
LL-I-17164764,0
LL-I-08465662,0
LL-I-18471175,0
LL-I-01635642,0
LL-I-18279731,1
LL-I-13143773,0
LL-I-14127690,0
LL-I-18126973,0
LL-I-12176868,0
LL-I-14964343,0
LL-I-10248814,0
LL-I-05939742,0
LL-I-12529053,1
LL-I-09215191,0
LL-I-15816022,0
LL-I-04133072,1
LL-I-10698697,0
LL-I-03956631,0
LL-I-12492628,0
LL-I-11682329,0
LL-I-05774464,0
LL-I-16539580,0
LL-I-10989528,0
LL-I-14055686,1
LL-I-16375947,0
LL-I-14832125,0
LL-I-02309202,0
LL-I-12250877,0
LL-I-11072028,0
LL-I-14335833,0
LL-I-13726353,0
LL-I-12381686,1
LL-I-05321794,0
LL-I-16421857,0
LL-I-16740422,1
LL-I-13303260,0
LL-I-13319245,0
LL-I-14276135,0
LL-I-12142289,0
LL-I-11822898,0
LL-I-12152601,1
LL-I-12104303,1
LL-I-08526492,0
LL-I-14388065,0
LL-I-08789461,1
LL-I-17498655,1
LL-I-06531818,1
LL-I-06180642,1
LL-I-07495806,1
LL-I-05278043,0
LL-I-18186033,0
LL-I-15773075,0
LL-I-12012472,1
LL-I-03524846,0
LL-I-07305471,0
LL-I-08049962,1
LL-I-16385778,0
LL-I-04106790,0
LL-I-02420381,0
LL-I-14189604,1
LL-I-06620119,0
LL-I-15050828,0
LL-I-07106945,0
LL-I-15406024,0
LL-I-12359989,1
LL-I-17570935,1
LL-I-03009060,0
LL-I-11140653,0
LL-I-11500395,0
LL-I-12372028,0
LL-I-04968905,1
LL-I-13701437,0
LL-I-03244248,0
LL-I-12133158,0
LL-I-11623858,0
LL-I-08224868,0
LL-I-11795715,1
LL-I-17175059,1
LL-I-10413466,0
LL-I-14564545,0
LL-I-04493146,0
LL-I-00293606,0
LL-I-04323755,1
LL-I-11045248,0
LL-I-02506437,1
LL-I-12994206,1
LL-I-18589739,1
LL-I-17929138,0
LL-I-12925220,0
LL-I-12897860,0
LL-I-04305058,0
LL-I-12043622,0
LL-I-03061589,0
LL-I-14810260,0
LL-I-12121728,0
LL-I-07703380,1
LL-I-09062666,0
LL-I-13003505,1
LL-I-11282441,1
LL-I-10526246,1
LL-I-16763829,1
LL-I-03259873,1
LL-I-03084152,1
LL-I-15598074,0
LL-I-12756612,0
LL-I-13707969,1
LL-I-03357429,0
LL-I-11756039,0
LL-I-06378167,1
LL-I-10750032,0
LL-I-07154705,0
LL-I-06044075,0
LL-I-05086469,0
LL-I-08794851,0
LL-I-12684972,0
LL-I-06351753,1
LL-I-06667552,1
LL-I-12345864,1
LL-I-15573781,1
LL-I-13524411,0
LL-I-13423001,0
LL-I-12107901,1
LL-I-10633740,0
LL-I-06186565,1
LL-I-15745752,1
LL-I-16484253,0
LL-I-04239981,1
LL-I-12123462,0
LL-I-17955837,0
LL-I-03424340,0
LL-I-14695774,0
LL-I-12249810,0
LL-I-06978921,0
LL-I-12600621,0
LL-I-17629238,0
LL-I-17460264,1
LL-I-06927378,0
LL-I-06489405,0
LL-I-09732629,0
LL-I-05722337,1
LL-I-14852516,1
LL-I-10000191,1
LL-I-10236688,1
LL-I-10362170,0
LL-I-12080195,0
LL-I-10268280,0
LL-I-06284524,1
LL-I-16346107,0
LL-I-16367270,0
LL-I-16718341,0
LL-I-10035378,1
LL-I-05740244,0
LL-I-09073956,1
LL-I-08382721,0
LL-I-02855927,0
LL-I-01428986,0
LL-I-13770399,0
LL-I-12859840,0
LL-I-16164350,0
LL-I-13186940,0
LL-I-17344079,1
LL-I-11719191,1
LL-I-04786318,0
LL-I-07033158,0
LL-I-07781060,0
LL-I-10587162,1
LL-I-10300956,0
LL-I-04691446,0
LL-I-15666882,0
LL-I-02620320,0
LL-I-04410845,0
LL-I-09061019,1
LL-I-16727461,0
LL-I-10111325,0
LL-I-17444296,0
LL-I-02932540,1
LL-I-08733962,0
LL-I-12459171,0
LL-I-16515385,0
LL-I-17175285,1
LL-I-00665717,0
LL-I-09076239,0
LL-I-12231115,0
LL-I-12210413,0
LL-I-11991273,0
LL-I-06396362,0
LL-I-12194212,1
LL-I-12689221,0
LL-I-12526875,0
LL-I-05176041,0
LL-I-07286144,0
LL-I-08020122,1
LL-I-12089647,0
LL-I-16536746,0
LL-I-07639378,1
LL-I-08786897,0
LL-I-05093836,0
LL-I-04706625,1
LL-I-12177806,1
LL-I-12690106,1
LL-I-03360374,1
LL-I-06492529,0
LL-I-09460380,0
LL-I-12457544,0
LL-I-08713395,1
LL-I-05977367,0
LL-I-12413176,0
LL-I-12103343,0
LL-I-13423502,1
LL-I-09650130,1
LL-I-14613040,0
LL-I-05460385,1
LL-I-07790399,0
LL-I-11848672,0
LL-I-17057131,0
LL-I-00221331,0
LL-I-13378412,0
LL-I-18569828,0
LL-I-18354313,0
LL-I-10583515,0
LL-I-13666112,0
LL-I-18416905,0
LL-I-13571151,1
LL-I-08275494,0
LL-I-09755904,0
LL-I-12475932,0
LL-I-16296974,1
LL-I-10200000,0
LL-I-02676634,1
LL-I-13823598,0
LL-I-05536069,0
LL-I-12081082,1
LL-I-17132024,0
LL-I-14269280,0
LL-I-06652200,0
LL-I-10533524,1
LL-I-12131477,0
LL-I-18066195,0
LL-I-02517984,0
LL-I-05097370,0
LL-I-11260920,0
LL-I-03612814,0
LL-I-09040497,0
LL-I-04376496,1
LL-I-12357433,0
LL-I-15532594,0
LL-I-09580129,0
LL-I-09368796,1
LL-I-00202124,1
LL-I-06090478,1
LL-I-11022775,0
LL-I-09129637,0
LL-I-08681019,1
LL-I-03000028,0
LL-I-16079190,0
LL-I-18210367,0
LL-I-14190329,0
LL-I-17915649,1
LL-I-05382874,0
LL-I-12136494,0
LL-I-12914004,0
LL-I-13588491,0
LL-I-11857693,0
LL-I-11653039,0
LL-I-04030386,0
LL-I-14066778,0
LL-I-04109769,1
LL-I-13771643,0
LL-I-13602063,0
LL-I-13141789,0
LL-I-07360420,0
LL-I-13570830,0
LL-I-17204903,0
LL-I-13379744,0
LL-I-03667805,0
LL-I-12399064,0
LL-I-10583082,0
LL-I-07036386,0
LL-I-06162759,1
LL-I-17026668,0
LL-I-08974550,0
LL-I-13446581,0
LL-I-10034811,0
LL-I-09833067,0
LL-I-10197014,0
LL-I-05504559,0
LL-I-17344366,1
LL-I-08698859,0
