name,text
Add MS 23494_0039_r0_l9p3,سليمة
Add MS 23494_0032_r0_l6p3,الشَعب
Add MS 23494_0039_r0_l21p6,حتىَ
Add MS 7474_0050_r8_l57p1,إِلَىَ 
Add MS 7474_0106_r0_l29p4,دقيقه
Add MS 23494_0030_r0_l7p4,تا
Add MS 7474_0028_r10_l17p1,خَظِ
Add MS 7474_0049_r3_l25p4,مُعَدِلَ
Add MS 7474_0042_r2_l14p1,مَرْكِزَ
Add MS 23494_0033_r0_l24p3,انَ
Add MS 23494_0032_r0_l1p6,المقامٰات
Add MS 23494_0028_r1_l4p2,فلا
Add MS 7474_0028_r10_l25p5,يَنْقَسِمَ
Add MS 7474_0042_r2_l1p2,بَعٍْد
Add MS 7474_0104_r1_l19p10,و نقول
Add MS 7474_0104_r1_l3p10,استبان
Add MS 7474_0049_r3_l17p1,مَدَ
Add MS 7474_0106_r0_l25p3,جَدَ
Add MS 23494_0033_r0_l9p2,في
Add MS 7474_0042_r2_l16p13,خَطٌي
Add MS 7474_0013_r1_l18p9,وَ فِيمَا
Add MS 7474_0028_r10_l16p8,مَرْكِزَ
Add MS 23494_0028_r1_l12p8,البلحي
Add MS 7474_0049_r3_l2p13,تحَاِلفُ
Add MS 7474_0104_r1_l33p15,لا
Add MS 7474_0049_r3_l25p7,لا
Add MS 7474_0042_r2_l4p13,لا
Add MS 7474_0106_r0_l11p2,لا
Add MS 7474_0106_r0_l31p5,لا
Add MS 7474_0042_r2_l0p12,لا
Add MS 7474_0028_r10_l9p10,لا
Add MS 23494_0045_r0_l8p5,لا
Add MS 23494_0047_r1_l9p1,لا
Add MS 7474_0106_r0_l9p3,لا
Add MS 23494_0030_r0_l8p9,لا
Add MS 7474_0042_r2_l9p2,لا
Add MS 23494_0028_r1_l12p4,لا
Add MS 7474_0013_r1_l2p3,لا
Add MS 23494_0044_r0_l8p11,لا
Add MS 7474_0049_r3_l12p3,لا
Add MS 7474_0028_r10_l23p13,لا
Add MS 23494_0039_r0_l15p5,لا
Add MS 23494_0045_r0_l12p3,لا
Add MS 7474_0042_r2_l0p6,لا
Add MS 23494_0033_r0_l11p8,لا
Add MS 7474_0104_r1_l33p10,لا
Add MS 7474_0013_r1_l10p10,لا
Add MS 7474_0104_r1_l33p1,لا
Add MS 7474_0104_r1_l7p10,لا
Add MS 23494_0044_r0_l17p4,لا
Add MS 7474_0042_r2_l8p3,لا
Add MS 23494_0039_r0_l11p7,لا
Add MS 7474_0028_r10_l10p4,لا
Add MS 23494_0047_r1_l32p10,لا
Add MS 7474_0050_r8_l29p2,لا
Add MS 7474_0050_r8_l37p10,لا
Add MS 7474_0050_r8_l29p12,لا
Add MS 7474_0106_r0_l15p6,لا
Add MS 7474_0104_r1_l7p4,لا
Add MS 7474_0048_r4_l20p14,لا
Add MS 23494_0039_r0_l15p1,لا
Add MS 23494_0030_r0_l5p11,لا
Add MS 7474_0042_r2_l5p11,لا
Add MS 7474_0028_r10_l3p3,لا
Add MS 7474_0042_r2_l7p11,لا
Add MS 7474_0104_r1_l37p3,لا
Add MS 7474_0013_r1_l4p4,لا
Add MS 7474_0048_r4_l20p2,لا
Add MS 7474_0028_r10_l0p2,لا
Add MS 23494_0047_r1_l20p9,لا
Add MS 7474_0048_r4_l26p3,لا
Add MS 23494_0030_r0_l9p12,لا
Add MS 7474_0013_r1_l16p3,لا
Add MS 23494_0033_r0_l9p5,لا
Add MS 23494_0045_r0_l7p2,لا
Add MS 7474_0104_r1_l13p9,لا
Add MS 7474_0048_r4_l24p3,لا
Add MS 23494_0033_r0_l4p8,لا
Add MS 7474_0042_r2_l12p10,لا
Add MS 7474_0013_r1_l8p1,لا
Add MS 23494_0032_r0_l9p7,لا
Add MS 7474_0028_r10_l25p7,لا
Add MS 23494_0047_r1_l7p4,لا
Add MS 23494_0033_r0_l12p8,لا
Add MS 7474_0104_r1_l29p5,لا
Add MS 7474_0050_r8_l37p7,لا
Add MS 7474_0050_r8_l10p9,لا
Add MS 23494_0032_r0_l13p2,لا
Add MS 7474_0049_r3_l19p8,لا
Add MS 23494_0039_r0_l8p6,لا
Add MS 23494_0028_r1_l14p5,لا
Add MS 23494_0047_r1_l6p5,لا
Add MS 23494_0044_r0_l4p8,لا
Add MS 23494_0045_r0_l5p7,لا
Add MS 23494_0028_r1_l24p4,لا
Add MS 23494_0044_r0_l8p5,لا
Add MS 23494_0047_r1_l23p9,لا
Add MS 7474_0013_r1_l16p1,لا
Add MS 7474_0106_r0_l21p3,لا
Add MS 23494_0028_r1_l19p6,لا
Add MS 23494_0044_r0_l10p11,لا
Add MS 23494_0044_r0_l7p8,لا
Add MS 7474_0106_r0_l11p6,لا
Add MS 7474_0104_r1_l21p8,لا
Add MS 23494_0032_r0_l1p8,لا
Add MS 7474_0106_r0_l31p2,لا
Add MS 7474_0028_r10_l13p7,لا
Add MS 7474_0104_r1_l35p8,لا
Add MS 23494_0044_r0_l10p4,لا
Add MS 7474_0013_r1_l14p12,لا
Add MS 7474_0013_r1_l6p7,لا
Add MS 7474_0028_r10_l23p7,لا
Add MS 7474_0042_r2_l2p2,لا
Add MS 23494_0028_r1_l18p5,لا
Add MS 23494_0030_r0_l20p3,لا
Add MS 23494_0045_r0_l4p6,لا
Add MS 7474_0028_r10_l11p11,لا
Add MS 7474_0048_r4_l10p4,لا
Add MS 23494_0030_r0_l7p10,لا
Add MS 7474_0028_r10_l15p9,لا
Add MS 23494_0030_r0_l6p3,لا
Add MS 7474_0048_r4_l34p7,لا
Add MS 23494_0044_r0_l16p7,لا
Add MS 7474_0048_r4_l6p3,لا
Add MS 23494_0044_r0_l5p5,لا
Add MS 23494_0044_r0_l5p10,لا
Add MS 23494_0044_r0_l12p7,لا
Add MS 23494_0028_r1_l17p4,لا
Add MS 23494_0044_r0_l13p8,لا
Add MS 23494_0045_r0_l15p1,لا
Add MS 7474_0104_r1_l7p13,لا
Add MS 23494_0047_r1_l35p2,لا
Add MS 7474_0104_r1_l37p6,لا
Add MS 23494_0033_r0_l12p2,لا
Add MS 7474_0048_r4_l24p6,لا
Add MS 7474_0048_r4_l10p8,لا
Add MS 7474_0050_r8_l47p3,لا
Add MS 23494_0044_r0_l13p1,لا
Add MS 7474_0048_r4_l26p1,لا
Add MS 7474_0106_r0_l23p13,لا
Add MS 7474_0106_r0_l9p1,لا
Add MS 23494_0032_r0_l10p1,لا
Add MS 7474_0048_r4_l40p6,لا
Add MS 7474_0104_r1_l35p9,لا
Add MS 7474_0104_r1_l3p7,لا
Add MS 7474_0028_r10_l25p4,لا
Add MS 7474_0028_r10_l9p12,لا
Add MS 23494_0033_r0_l12p4,لا
Add MS 7474_0048_r4_l34p10,لا
Add MS 23494_0047_r1_l35p5,لا
Add MS 7474_0104_r1_l15p11,لا
Add MS 7474_0106_r0_l7p9,لا
Add MS 7474_0028_r10_l11p3,لا
Add MS 7474_0042_r2_l3p10,لا
Add MS 7474_0104_r1_l7p12,لا
Add MS 23494_0047_r1_l7p11,لا
Add MS 7474_0028_r10_l22p3,لا
Add MS 23494_0028_r1_l6p8,لا
Add MS 23494_0033_r0_l18p5,لا
Add MS 7474_0028_r10_l19p2,لا
Add MS 7474_0049_r3_l27p4,لا
Add MS 7474_0049_r3_l5p1,لا
Add MS 23494_0032_r0_l13p3,لا
Add MS 7474_0104_r1_l23p3,لا
Add MS 7474_0050_r8_l14p10,لا
Add MS 23494_0047_r1_l35p10,لا
Add MS 23494_0028_r1_l11p6,لا
Add MS 7474_0104_r1_l38p6,لا
Add MS 7474_0104_r1_l37p2,لا
Add MS 7474_0106_r0_l9p5,لا
Add MS 7474_0050_r8_l51p2,لا
Add MS 23494_0045_r0_l7p8,لا
Add MS 23494_0039_r0_l3p8,لا
Add MS 23494_0028_r1_l5p8,لا
Add MS 23494_0039_r0_l19p6,لا
Add MS 7474_0028_r10_l21p3,لا
Add MS 23494_0028_r1_l12p9,لا
Add MS 23494_0045_r0_l16p1,فليبتدي
Add MS 23494_0032_r0_l7p3,كومنت
Add MS 23494_0039_r0_l18p7,الاتراك
Add MS 23494_0032_r0_l12p10,النهٌر
Add MS 7474_0049_r3_l12p4,فيِِِِ
Add MS 23494_0044_r0_l10p2,ذلك
Add MS 23494_0030_r0_l13p7,يونس
Add MS 23494_0030_r0_l8p2,اذبحك
Add MS 7474_0042_r2_l20p2,وَتعْلَم
Add MS 23494_0030_r0_l21p12,الأنبياَء
Add MS 23494_0047_r1_l20p8,الدلو
Add MS 23494_0032_r0_l4p3,سادس
Add MS 7474_0048_r4_l14p7,وَضِعْف
Add MS 23494_0044_r0_l10p7,الى
Add MS 7474_0048_r4_l34p1,وَتَرٍِ
Add MS 23494_0047_r1_l11p6,ترف
Add MS 7474_0013_r1_l22p8,الْمنْتَقِلاَتِ
Add MS 23494_0045_r0_l10p9,فول
Add MS 23494_0030_r0_l9p7,فقال
Add MS 23494_0032_r0_l10p7,ترابي
Add MS 23494_0045_r0_l2p7,اذا
Add MS 23494_0030_r0_l2p9,الموسيقى
Add MS 23494_0039_r0_l15p8,و هؤلاء
Add MS 23494_0044_r0_l2p3,قرائتك
Add MS 7474_0106_r0_l29p3,وحمسين
Add MS 7474_0013_r1_l22p9,وَالكَمِيَةِ
Add MS 7474_0050_r8_l14p7,يَكُونُ
Add MS 23494_0032_r0_l3p3,الغزال
Add MS 7474_0050_r8_l47p10,شَدِيدَ
Add MS 23494_0047_r1_l35p12,و فيَ
Add MS 23494_0039_r0_l12p9,ترابي
Add MS 23494_0030_r0_l5p12,تزيد
Add MS 7474_0104_r1_l19p3,وجودِ
Add MS 23494_0047_r1_l2p4,الرَابع
Add MS 23494_0033_r0_l20p2,فالزامت
Add MS 23494_0032_r0_l14p5,شاعدا
Add MS 7474_0048_r4_l41p6,من 
Add MS 23494_0047_r1_l20p10,تاني
Add MS 23494_0047_r1_l19p2,واذا
Add MS 7474_0106_r0_l21p11,الشتوي
Add MS 23494_0039_r0_l12p7,لان
Add MS 7474_0106_r0_l39p4,التي
Add MS 7474_0104_r1_l19p9,ايضًَا
Add MS 23494_0044_r0_l17p5,يتفرع
Add MS 7474_0104_r1_l3p5,و سبعين
Add MS 7474_0028_r10_l13p13,الكُسُورِ
Add MS 7474_0028_r10_l20p4,إِلٍَيهِ 
Add MS 7474_0049_r3_l11p1,فَلَكِ
Add MS 7474_0042_r2_l11p4,زَاويَةُ
Add MS 7474_0050_r8_l39p5,دَلٌَنَا
Add MS 23494_0033_r0_l9p6,من 
Add MS 7474_0106_r0_l7p6,قد
Add MS 7474_0048_r4_l38p7,هُوَ
Add MS 7474_0104_r1_l5p2,وصفنا
Add MS 7474_0049_r3_l23p2,زَمَانَ 
Add MS 23494_0039_r0_l21p9,قلوبهم
Add MS 23494_0039_r0_l8p5,قلوبهم
Add MS 23494_0033_r0_l20p7,والحسيني
Add MS 23494_0028_r1_l24p1,صحتها
Add MS 7474_0028_r10_l25p11,وَ
Add MS 23494_0044_r0_l15p6,اصول
Add MS 23494_0039_r0_l2p4,اللوَح
Add MS 23494_0028_r1_l24p7,بالكلمات
Add MS 7474_0013_r1_l14p4,بَسَطَ
Add MS 23494_0028_r1_l16p4,ان
Add MS 7474_0049_r3_l5p5,منْ
Add MS 23494_0045_r0_l16p11,ابتدا
Add MS 7474_0050_r8_l24p9,وَنُحَرِكُ
Add MS 7474_0050_r8_l39p12,متى
Add MS 7474_0013_r1_l6p4,بحَقِيقَةٍ
Add MS 23494_0032_r0_l15p8,زاوله
Add MS 23494_0028_r1_l8p5,صالح
Add MS 23494_0030_r0_l21p11,من
Add MS 23494_0032_r0_l14p1,طبعه
Add MS 23494_0030_r0_l9p2,اراد
Add MS 23494_0030_r0_l12p7,ان
Add MS 7474_0104_r1_l31p6,فاقول
Add MS 23494_0047_r1_l11p2,حصار
Add MS 7474_0049_r3_l21p5,يَوَ
Add MS 23494_0044_r0_l15p1,دائمَا
Add MS 23494_0030_r0_l8p7,كانَ
Add MS 7474_0106_r0_l31p3,قطب
Add MS 23494_0032_r0_l10p8,برجه
Add MS 7474_0050_r8_l58p9,نَعْمَلُ
Add MS 7474_0104_r1_l29p11,قوس
Add MS 23494_0045_r0_l18p2,الى
Add MS 7474_0013_r1_l4p1,بِهِ
Add MS 23494_0033_r0_l13p1,الكامل
Add MS 7474_0048_r4_l40p11,مَدَ
Add MS 23494_0030_r0_l2p2,يقال
Add MS 7474_0049_r3_l13p2,نَدَ
Add MS 23494_0039_r0_l22p2,والبوسليك
Add MS 23494_0039_r0_l12p2,هذا
Add MS 7474_0049_r3_l15p2,قّد
Add MS 23494_0044_r0_l2p7,والشٌاه
Add MS 23494_0028_r1_l13p1,اللٌه
Add MS 23494_0032_r0_l8p3,ساعة
Add MS 7474_0106_r0_l11p10,الزُوايا
Add MS 23494_0044_r0_l9p4,وان
Add MS 7474_0050_r8_l57p3,الرَبٌعِِِ
Add MS 23494_0030_r0_l20p9,الُفَُضَلاء
Add MS 7474_0042_r2_l16p14,جَرحَه
Add MS 23494_0032_r0_l21p10,النابع
Add MS 23494_0039_r0_l22p1,تأزمت
Add MS 23494_0039_r0_l15p9,المقامٰات
Add MS 23494_0028_r1_l23p3,النقي
Add MS 7474_0042_r2_l12p5,وَ نُخْرِجُ
Add MS 23494_0039_r0_l19p4,و البوسليل
Add MS 7474_0104_r1_l33p2,لازم
Add MS 7474_0048_r4_l6p8,وَترِِ
Add MS 23494_0032_r0_l9p1,و له
Add MS 23494_0044_r0_l21p6,الثيران
Add MS 23494_0030_r0_l3p10,كانَ
Add MS 23494_0045_r0_l19p4,الروماني
Add MS 23494_0030_r0_l5p8,من
Add MS 23494_0028_r1_l16p8,مقام
Add MS 7474_0104_r1_l7p5,برج
Add MS 7474_0013_r1_l22p3,عَلى
Add MS 23494_0045_r0_l6p4,فانتقل
Add MS 23494_0044_r0_l7p6,بومة
Add MS 7474_0028_r10_l10p3,وَنبين
Add MS 7474_0104_r1_l35p1,ذو
Add MS 23494_0044_r0_l22p9,والحزين
Add MS 7474_0050_r8_l39p7,اللسَانَيِِن
Add MS 7474_0050_r8_l16p6,الرؤسِ
Add MS 23494_0030_r0_l13p2,و ما
Add MS 23494_0045_r0_l9p7,المخالف
